PMID,Title,Publication Date,Non-Academic Authors,Corresponding Author Email
40049295,Therapeutic targets in the Wnt signaling pathway: Treating cancer with specificity.,2025,"Jiaxi Zhang (Jiangsu Key Laboratory for Molecular and Medical Biotechnology, School of Life Science, Nanjing Normal University, Nanjing 210023, China.); Haochuan Guo (Jiangsu Key Laboratory for Molecular and Medical Biotechnology, School of Life Science, Nanjing Normal University, Nanjing 210023, China.); Chengxuan Gong (Jiangsu Key Laboratory for Molecular and Medical Biotechnology, School of Life Science, Nanjing Normal University, Nanjing 210023, China.); Jie Shen (Jiangsu Key Laboratory for Molecular and Medical Biotechnology, School of Life Science, Nanjing Normal University, Nanjing 210023, China.); Guijie Jiang (Jiangsu Key Laboratory for Molecular and Medical Biotechnology, School of Life Science, Nanjing Normal University, Nanjing 210023, China.); Tingming Liang (Jiangsu Key Laboratory for Molecular and Medical Biotechnology, School of Life Science, Nanjing Normal University, Nanjing 210023, China. Electronic address: tmliang@njnu.edu.cn.)",Not Available
40049050,The role of VEGF in Cancer angiogenesis and tumorigenesis: Insights for anti-VEGF therapy.,2025,"Zijun Shi (School of Life Sciences, Jiangsu University, Zhenjiang 212013, China.); Mengmeng Kuai (School of Life Sciences, Jiangsu University, Zhenjiang 212013, China.); Baohua Li (School of Life Sciences, Jiangsu University, Zhenjiang 212013, China.); Carlos Frimpong Akowuah (School of Life Sciences, Jiangsu University, Zhenjiang 212013, China.); Zhenyu Wang (School of Life Sciences, Jiangsu University, Zhenjiang 212013, China.); Ye Pan (School of Life Sciences, Jiangsu University, Zhenjiang 212013, China.); Min Tang (School of Life Sciences, Jiangsu University, Zhenjiang 212013, China.); Peng Lü (School of Life Sciences, Jiangsu University, Zhenjiang 212013, China; Affiliated Hospital of Jiangsu University, Zhenjiang 212013, China. Electronic address: penglu@ujs.edu.cn.)",Not Available
40048984,Targeted mitochondrial therapy for pancreatic cancer.,2025,"Xinya Zhao (Department of Pharmacy, First Affiliated Hospital of Dalian Medical University, Dalian, 116011, China; College of Pharmacy, Dalian Medical University, Dalian, 116044, China.); Guoyu Wu (Department of Pharmacy, First Affiliated Hospital of Dalian Medical University, Dalian, 116011, China.); Xufeng Tao (Department of Pharmacy, First Affiliated Hospital of Dalian Medical University, Dalian, 116011, China. Electronic address: taoxufeng.2008@163.com.); Deshi Dong (Department of Pharmacy, First Affiliated Hospital of Dalian Medical University, Dalian, 116011, China. Electronic address: dongdeshi@dmu.edu.cn.)",Not Available
40048957,The combination of flaxseed lignans and PD-1/ PD-L1 inhibitor inhibits breast cancer growth via modulating gut microbiome and host immunity.,2025,"Hao Wu (Heilongjiang Clinical Research Center for Breast Cancer, Harbin Medical University Cancer Hospital, Harbin, China; Genomics Research Center, State Key Laboratory of Biomedicine-Pharmaceutics of China, College of Pharmacy, Harbin Medical University, Harbin, China. Electronic address: 3345@hrbmu.edu.cn.); Xing-Hua Zhang (Genomics Research Center, State Key Laboratory of Biomedicine-Pharmaceutics of China, College of Pharmacy, Harbin Medical University, Harbin, China; Key Laboratory of Gut Microbiota and Pharmacogenomics of Heilongjiang Province, Harbin Medical University, Harbin, China; HMU-UCCSM Centre for Infection and Genomics, Harbin Medical University, Harbin, China; National Key Laboratory of Frigid Zone Cardiovascular Diseases, Harbin 150081, China.); Huidi Liu (Genomics Research Center, State Key Laboratory of Biomedicine-Pharmaceutics of China, College of Pharmacy, Harbin Medical University, Harbin, China; Key Laboratory of Gut Microbiota and Pharmacogenomics of Heilongjiang Province, Harbin Medical University, Harbin, China; HMU-UCCSM Centre for Infection and Genomics, Harbin Medical University, Harbin, China; National Key Laboratory of Frigid Zone Cardiovascular Diseases, Harbin 150081, China; Department of Biochemistry and Molecular Biology, University of Calgary, Calgary, AB, Canada.); Hong-Da Tian (Genomics Research Center, State Key Laboratory of Biomedicine-Pharmaceutics of China, College of Pharmacy, Harbin Medical University, Harbin, China; Key Laboratory of Gut Microbiota and Pharmacogenomics of Heilongjiang Province, Harbin Medical University, Harbin, China; HMU-UCCSM Centre for Infection and Genomics, Harbin Medical University, Harbin, China; National Key Laboratory of Frigid Zone Cardiovascular Diseases, Harbin 150081, China.); Jin-Ru Lai (Genomics Research Center, State Key Laboratory of Biomedicine-Pharmaceutics of China, College of Pharmacy, Harbin Medical University, Harbin, China; Key Laboratory of Gut Microbiota and Pharmacogenomics of Heilongjiang Province, Harbin Medical University, Harbin, China; HMU-UCCSM Centre for Infection and Genomics, Harbin Medical University, Harbin, China; National Key Laboratory of Frigid Zone Cardiovascular Diseases, Harbin 150081, China.); Gui-Rong Liu (Genomics Research Center, State Key Laboratory of Biomedicine-Pharmaceutics of China, College of Pharmacy, Harbin Medical University, Harbin, China; Key Laboratory of Gut Microbiota and Pharmacogenomics of Heilongjiang Province, Harbin Medical University, Harbin, China; HMU-UCCSM Centre for Infection and Genomics, Harbin Medical University, Harbin, China; National Key Laboratory of Frigid Zone Cardiovascular Diseases, Harbin 150081, China.); Shu-Lin Liu (Genomics Research Center, State Key Laboratory of Biomedicine-Pharmaceutics of China, College of Pharmacy, Harbin Medical University, Harbin, China; Key Laboratory of Gut Microbiota and Pharmacogenomics of Heilongjiang Province, Harbin Medical University, Harbin, China; HMU-UCCSM Centre for Infection and Genomics, Harbin Medical University, Harbin, China; National Key Laboratory of Frigid Zone Cardiovascular Diseases, Harbin 150081, China; Department of Microbiology, Immunology and Infectious Diseases, University of Calgary, Calgary, AB, Canada. Electronic address: slliu@hrbmu.edu.cn.)",Not Available
40048112,"Inhibitory effects of carbohydrazide indole derivative on micro-blood vessel growth using ex vivo, in vivo, and in vitro assays.",2025,"Bayan Jamal Khaleel (Department of Pharmacology, College of Medicine, Al-Nahrain University, Baghdad, Iraq.); Hayder Ridha-Salman (College of Pharmacy, Al-Mustaqbal University, Hillah, 51001, Babylon, Iraq. hayder80.ridha@gmail.com.); Haitham Mahmood Kadhim (Department of Pharmacology and Toxicology, College of Pharmacy, Al-Nahrain University, Baghdad, Iraq.); Omeed M Hassan (Department of Pharmaceutical Chemistry, College of Pharmacy, University of Kirkuk, Kirkuk, Iraq.); Ammar Kubba (Department of Pharmaceutical Chemistry, College of Pharmacy, University of Baghdad, Baghdad, Iraq.); Hayder B Sahib (College of Pharmacy, Al-Mustaqbal University, Hillah, 51001, Babylon, Iraq.)",Not Available
40048009,Polycomb repressive complex 2 (PRC2) pathway's role in cancer cell plasticity and drug resistance.,2025,"Pouya Goleij (Immunology Board for Transplantation and Cell-Based Therapeutics (Immunotact), Universal Scientific Education and Research Network (USERN), Tehran, Iran. medgenetic.1991@gmail.com.); Pantea Majma Sanaye (School of Pharmacy, Zanjan University of Medical Sciences, Zanjan, 4513956184, Iran.); Maria Daglia (Department of Pharmacy, University of Naples ""Federico II"", Via D. Montesano 49, 80131, Naples, Italy.); Haroon Khan (Department of Pharmacy, Faculty of Chemical and Life Sciences, Abdul Wali Khan University Mardan, Mardan, 23200, Pakistan. haroonkhan@awkum.edu.pk.)",Not Available
40047858,Natural compounds as regulators of miRNAs: exploring a new avenue for treating brain cancer.,2025,"Ahmed S Doghish (Department of Biochemistry, Faculty of Pharmacy, Badr University in Cairo (BUC), Badr City, Cairo, 11829, Egypt. ahmed_doghish@azhar.edu.eg.); Walaa A El-Dakroury (Department of Pharmaceutics and Industrial Pharmacy, Faculty of Pharmacy, Badr University in Cairo (BUC), Badr City, Cairo, 11829, Egypt.); Ahmed I Abulsoud (Biochemistry and Molecular Biology Department, Faculty of Pharmacy (Boys), Al-Azhar University, Nasr City, Cairo, 11231, Egypt.); Nourhan M Abdelmaksoud (Department of Biochemistry, Faculty of Pharmacy, Heliopolis University, Cairo, 11785, Egypt.); Shaza H Aly (Department of Pharmacognosy, Faculty of Pharmacy, Badr University in Cairo (BUC), Badr City, Cairo, 11829, Egypt.); Osama A Mohammed (Department of Pharmacology, College of Medicine, University of Bisha, Bisha, 61922, Saudi Arabia.); Mustafa Ahmed Abdel-Reheim (Department of Pharmacology, College of Pharmacy, Shaqra University, Shaqra, 11961, Saudi Arabia. m.ahmed@su.edu.sa.); Mohamed Bakr Zaki (Department of Biochemistry, Faculty of Pharmacy, University of Sadat City, Sadat City, Menoufia, 32897, Egypt.); Nehal I Rizk (Department of Biochemistry, Faculty of Pharmacy and Drug Technology, Egyptian Chinese University, Cairo, 11786, Egypt.); Esraa M Mosalam (Biochemistry Department, Faculty of Pharmacy, Menoufia University, Shebin El-Kom, 32511, Egypt.); Sherif S Abdel Mageed (Pharmacology and Toxicology Department, Faculty of Pharmacy, Badr University in Cairo (BUC), Badr City, Cairo, 11829, Egypt.)",Not Available
40047275,Synthesis and Antitumor Evaluation of a Novel Class of Chalcone Mannich Base Derivatives.,2025,"Bing He (College of Pharmacy, Anhui University of Chinese Medicine, Hefei, China.); Hong-Zhou Tan (College of Pharmacy, Anhui University of Chinese Medicine, Hefei, China.); Cheng-Bo Liu (College of Pharmacy, Anhui University of Chinese Medicine, Hefei, China.); Hong Wu (College of Pharmacy, Anhui University of Chinese Medicine, Hefei, China.); Li-Qin He (College of Pharmacy, Anhui University of Chinese Medicine, Hefei, China.)",Not Available
40046748,"{'i': ['in vitro', 'in vivo'], '#text': 'Dual inhibitor of MDM2 and NFAT1 for experimental therapy of breast cancer:  and  anticancer activities and newly discovered effects on cancer metabolic pathways.'}",2025,"Wei Wang (Department of Pharmacological and Pharmaceutical Sciences, College of Pharmacy, University of Houston, Houston, TX, United States.); Sayantap Datta (Department of Pharmacological and Pharmaceutical Sciences, College of Pharmacy, University of Houston, Houston, TX, United States.); Abigail Alley (Department of Pharmacological and Pharmaceutical Sciences, College of Pharmacy, University of Houston, Houston, TX, United States.); Meheret Tadesse (Department of Pharmacological and Pharmaceutical Sciences, College of Pharmacy, University of Houston, Houston, TX, United States.); Xinshi Wang (Department of Pharmacological and Pharmaceutical Sciences, College of Pharmacy, University of Houston, Houston, TX, United States.); Ruiwen Zhang (Department of Pharmacological and Pharmaceutical Sciences, College of Pharmacy, University of Houston, Houston, TX, United States.)",Not Available
40046407,Combining JAK Inhibitors with Immune Checkpoint Inhibitors: Overcoming Resistance in Cancer Treatment.,2025,Hai-Jing Zhong (State Key Laboratory of Bioactive Molecules and Druggability Assessment International Cooperative Laboratory of Traditional Chinese Medicine Modernization and Innovative Drug Development of Chinese Ministry of Education (MOE) of China College of Pharmacy Jinan University Guangzhou China.),Not Available
40045459,"{'sup': 'V600E', '#text': 'BRAF-PROTAC versus inhibitors in melanoma cells: Deep transcriptomic characterisation.'}",2025,"Zakaria Y Abd Elmageed (Department of Pharmacology, Edward Via College of Osteopathic Medicine, University of Louisiana, Monroe, Louisiana, USA.); Mourad Zerfaoui (Center for ViroScience and Cure, Department of Pediatrics, Laboratory of Biochemical Pharmacology, Emory University School of Medicine, Atlanta, Georgia, USA.)",Not Available
40044797,New insights of cerium oxide nanoparticles in head and neck cancer treatment.,2025,"Elif Tarakci (Climate Change and Life Sciences, Biotechnology Research Group, TUBITAK-Marmara Research Center, 41470, Gebze, Kocaeli, Turkey.); Sahra Esmkhani (Climate Change and Life Sciences, Biotechnology Research Group, TUBITAK-Marmara Research Center, 41470, Gebze, Kocaeli, Turkey.); Jamila Bayramova (Climate Change and Life Sciences, Biotechnology Research Group, TUBITAK-Marmara Research Center, 41470, Gebze, Kocaeli, Turkey.); Feride Melisa Bilgin (Climate Change and Life Sciences, Biotechnology Research Group, TUBITAK-Marmara Research Center, 41470, Gebze, Kocaeli, Turkey.); Kubra Kidik (Climate Change and Life Sciences, Biotechnology Research Group, TUBITAK-Marmara Research Center, 41470, Gebze, Kocaeli, Turkey.); Ahsen Morva Yilmaz (Climate Change and Life Sciences, Biotechnology Research Group, TUBITAK-Marmara Research Center, 41470, Gebze, Kocaeli, Turkey.); Filiz Kaya (Climate Change and Life Sciences, Biotechnology Research Group, TUBITAK-Marmara Research Center, 41470, Gebze, Kocaeli, Turkey.); Digdem Aktoprakligil Aksu (Climate Change and Life Sciences, Biotechnology Research Group, TUBITAK-Marmara Research Center, 41470, Gebze, Kocaeli, Turkey.); Hilal Yazici (Climate Change and Life Sciences, Biotechnology Research Group, TUBITAK-Marmara Research Center, 41470, Gebze, Kocaeli, Turkey. hilal.yazici@tubitak.gov.tr.)",Not Available
40044682,MiR-769-5p of macrophage exosomes induced by GRP78 promotes stemness and chemoresistance in colorectal cancer.,2025,"Jinmiao Tian (Key Laboratory of Chemical Biology and Molecular Engineering of the National Ministry of Education, Institute of Biotechnology, Shanxi University, Taiyuan, 030006, China.); Xiaxia Fan (Key Laboratory of Chemical Biology and Molecular Engineering of the National Ministry of Education, Institute of Biotechnology, Shanxi University, Taiyuan, 030006, China.); Zhuoyu Li (Key Laboratory of Chemical Biology and Molecular Engineering of the National Ministry of Education, Institute of Biotechnology, Shanxi University, Taiyuan, 030006, China. lzy@sxu.edu.cn.)",Not Available
40044105,"piRNAs in leukemogenesis: Mechanisms, biomarkers, and therapeutic implications.",2025,"Gaurav Gupta (Centre for Research Impact & Outcome, Chitkara College of Pharmacy, Chitkara University, Rajpura, Punjab 140401, India; Centre of Medical and Bio-allied Health Sciences Research, Ajman University, Ajman, United Arab Emirates.); Muhammad Afzal (Department of Pharmaceutical Sciences, Pharmacy Program, Batterjee Medical College, P.O. Box 6231, Jeddah 21442, Saudi Arabia.); Ahsas Goyal (Institute of Pharmaceutical Research, GLA University, Mathura, Uttar Pradesh, India.); Mohit Rana (Uttaranchal Institute of Pharmaceutical Sciences, Uttaranchal University, Dehradun, India.); Kavita Goyal (Department of Biotechnology, Graphic Era (Deemed to be University), Clement Town, Dehradun 248002, India. Electronic address: kavita.g01@outlook.com.); Sachin Kumar Singh (School of Pharmaceutical Sciences, Lovely Professional University, Phagwara, Punjab 144411, India.)",Not Available
40043463,Targeting and engineering biomarkers for prostate cancer therapy.,2025,"Dhirodatta Senapati (KIIT School of Pharmacy, KIIT (Deemed to be University), Bhubaneswar, Odisha, India. Electronic address: dhirodatta.senapati@kims.ac.in.); Santosh Kumar Sahoo (GITAM School of Pharmacy, GITAM (Deemed to be University), Visakhapatnam, Andhra Pradesh, 530045, India.); Bhabani Shankar Nayak (KIIT School of Pharmacy, KIIT (Deemed to be University), Bhubaneswar, Odisha, India.); Gopal C Kundu (Kalinga Institute of Medical Sciences (KIMS), KIIT (Deemed to be University), Bhubaneswar, 751024, India; School of Biotechnology, KIIT (Deemed to be University), Bhubaneswar, 751024, India.); Subrat Kumar Bhattamisra (Department of Pharmacy, School of Health Science, Central University of South Bihar, Bihar, India.)",Not Available
40043386,"Novel inhibitors of oncogenic Wnt/TCF-4/β-catenin signaling pathway: Design, synthesis, molecular docking studies and apoptosis inducing activity of pyrimidothiazino-, dihydropyrimidotriazepino- and 1,3,4-thiadiazolopyrimido-indole hybrids.",2025,"Mai A E Mourad (Medicinal Chemistry Department, Faculty of Pharmacy, Port-Said University, Port-Said 42511, Egypt; Medicinal Chemistry Department, Pharmacology and Toxicology Department, Faculty of Pharmacy, East Port-Said National University, Port-Said, Egypt. Electronic address: mai.mourad@pharm.psu.edu.eg.); Ahmed A E Mourad (Pharmacology and Toxicology Department, Faculty of Pharmacy, Port-Said University, Port-Said 42511, Egypt; Medicinal Chemistry Department, Pharmacology and Toxicology Department, Faculty of Pharmacy, East Port-Said National University, Port-Said, Egypt. Electronic address: ahmed.mourad@pharm.psu.edu.eg.); Ayman Abo Elmaaty (Medicinal Chemistry Department, Faculty of Pharmacy, Port-Said University, Port-Said 42511, Egypt. Electronic address: ayman.mohamed@pharm.psu.edu.eg.); Amal Hofni (Department of Pharmacology and Toxicology, Faculty of Pharmacy, South Valley University, Qena 83523, Egypt. Electronic address: amal.gaber@svu.edu.eg.); Ahmed E Khodir (Department of Pharmacology, Faculty of Pharmacy, Horus University, New Damietta 34518, Egypt. Electronic address: akhodir@horus.edu.eg.); Esam M Aboubakr (Department of Pharmacology and Toxicology, Faculty of Pharmacy, South Valley University, Qena 83523, Egypt. Electronic address: esam_pharma@svu.edu.eg.); Wagdy M Eldehna (Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Kafrelsheikh University, Kafrelsheikh 33516, Egypt; Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Pharos University in Alexandria; Canal El Mahmoudia St., Alexandria 21648, Egypt.); Ahmed A Al-Karmalawy (Department of Pharmaceutical Chemistry, College of Pharmacy, The University of Mashreq, Baghdad 10023, Iraq; Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Horus University-Egypt, New Damietta 34518, Egypt. Electronic address: akarmalawy@horus.edu.eg.)",Not Available
40043112,Differential regulation of BAX and BAK apoptotic activity revealed by small molecules.,2025,"Guillaume Lessene (Department of Biochemistry and Pharmacology, University of Melbourne, Parkville, Victoria, Australia.)",Not Available
40041949,Oxygen-Releasing Nanodroplets Relieve Intratumoral Hypoxia and Potentiate Photodynamic Therapy in 3D Head and Neck Cancer Spheroids.,2025,"Jason Cook (NanoHybrids, Inc., Acton, Massachusetts 01720, United States.)",Not Available
40041899,"{'i': 'β', '#text': 'Natural product mediated mesenchymal-epithelial remodeling by covalently binding ENO1 to degrade m6A modified -catenin mRNA.'}",2025,"Tianyang Chen (State Key Laboratory of Medicinal Chemical Biology, College of Pharmacy and Tianjin Key Laboratory of Molecular Drug Research, Nankai University, Tianjin 300353, China.); Guangju Liu (State Key Laboratory of Medicinal Chemical Biology, College of Pharmacy and Tianjin Key Laboratory of Molecular Drug Research, Nankai University, Tianjin 300353, China.); Sisi Chen (State Key Laboratory of Medicinal Chemical Biology, College of Pharmacy and Tianjin Key Laboratory of Molecular Drug Research, Nankai University, Tianjin 300353, China.); Fengyuan Zhang (State Key Laboratory of Medicinal Chemical Biology, College of Pharmacy and Tianjin Key Laboratory of Molecular Drug Research, Nankai University, Tianjin 300353, China.); Shuoqian Ma (State Key Laboratory of Medicinal Chemical Biology, College of Pharmacy and Tianjin Key Laboratory of Molecular Drug Research, Nankai University, Tianjin 300353, China.); Yongping Bai (State Key Laboratory of Medicinal Chemical Biology, College of Pharmacy and Tianjin Key Laboratory of Molecular Drug Research, Nankai University, Tianjin 300353, China.); Quan Zhang (State Key Laboratory of Medicinal Chemical Biology, College of Pharmacy and Tianjin Key Laboratory of Molecular Drug Research, Nankai University, Tianjin 300353, China.)",Not Available
40040956,Biomimetic Atorvastatin Self-Assembled Nanomedicine Inhibits the Cyclooxygenase-2/Prostaglandin E2 Pathway Enhanced Photothermal and Antitumor Immunity.,2025,"Min Zhou (Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha 410011, China.); Ruyue Han (Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha 410011, China.); Wenjie Xu (Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha 410011, China.); Xinyan Hao (Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha 410011, China.); Yanjin Peng (Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha 410011, China.); Yucheng Tang (Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha 410011, China.); Pengcheng Sun (Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha 410011, China.); Tiantian Tang (Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha 410011, China.); Junyong Wu (Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha 410011, China.); Daxiong Xiang (Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha 410011, China.)",Not Available
